product_id,name,slug,description,category,price,stock_qty,image,created_at
1,Polarized hybrid standardization,polarized-hybrid-standardization,"Kitchen each better yard race character. Cost tax in right opportunity establish do.
Million relate think red. Crime window property old area performance.
Themselves friend throw phone.",toys,60.99,379,https://example.com/images/polarized-hybrid-standardization.jpg,2025-08-08T13:17:05
2,Decentralized demand-driven installation,decentralized-demand-driven-installation,"Theory prove Democrat arrive test church animal. Bit industry line recognize research there Republican.
Civil music table. Such although even small television gas.",home,126.97,71,https://example.com/images/decentralized-demand-driven-installation.jpg,2025-05-02T11:52:09
3,Right-sized even-keeled hardware,right-sized-even-keeled-hardware,Nature cover office how pressure. His blood manage than sea occur such. People degree source senior important.,toys,56.62,379,https://example.com/images/right-sized-even-keeled-hardware.jpg,2025-10-18T16:16:55
4,Devolved client-driven info-mediaries,devolved-client-driven-info-mediaries,"According work seem view adult. Capital enough lose too. Minute left task group some.
Lose box song west buy table easy.",beauty,48.94,216,https://example.com/images/devolved-client-driven-info-mediaries.jpg,2025-08-24T22:30:10
5,Object-based 6thgeneration projection,object-based-6thgeneration-projection,"Writer with apply fund. How weight million back she.
Imagine guess hundred loss all. Method six site where.",electronics,20.71,111,https://example.com/images/object-based-6thgeneration-projection.jpg,2025-04-21T01:16:23
6,Down-sized modular definition,down-sized-modular-definition,"Indicate contain painting shake give.
Pick chance her exactly.
But experience structure least window result husband defense. Drop city return president leader yeah.",fashion,255.64,13,https://example.com/images/down-sized-modular-definition.jpg,2025-11-13T18:40:31
7,Intuitive high-level groupware,intuitive-high-level-groupware,Your food director star hospital major nice reduce. Think compare ask prepare. I project red more.,beauty,104.22,332,https://example.com/images/intuitive-high-level-groupware.jpg,2025-05-22T09:04:44
8,Cross-group 6thgeneration knowledge user,cross-group-6thgeneration-knowledge-user,"Senior resource white white color anything. Voice degree Republican close.
Its great because get stay pretty. Style science three probably since arrive.
Method senior image thus.",toys,275.19,112,https://example.com/images/cross-group-6thgeneration-knowledge-user.jpg,2025-10-17T16:16:52
9,Customizable 6thgeneration functionalities,customizable-6thgeneration-functionalities,Industry quite former staff history. Bank bar wait child wife source cup both. Effort site available TV compare particular.,sports,297.09,414,https://example.com/images/customizable-6thgeneration-functionalities.jpg,2024-12-17T13:27:08
10,Proactive mobile moderator,proactive-mobile-moderator,"Street person address major meet last upon. Director can pull. Camera detail rule also reduce current.
Force could instead man drop box country. Forward actually sign thing.",electronics,380.84,81,https://example.com/images/proactive-mobile-moderator.jpg,2025-02-03T02:46:34
11,Extended bandwidth-monitored encryption,extended-bandwidth-monitored-encryption,"Ready military oil character reflect discussion network. Meeting inside first radio evening.
Article manager protect know southern bank. Blood he remain use. Detail eat ability suffer cut bill give.",toys,214.76,142,https://example.com/images/extended-bandwidth-monitored-encryption.jpg,2025-11-07T02:16:48
12,User-centric 24/7 hierarchy,user-centric-24/7-hierarchy,Lay investment budget debate reflect although defense. Leader join another quickly response PM senior. Opportunity natural record no. Everything manager third add once student wind.,fashion,112.35,390,https://example.com/images/user-centric-24/7-hierarchy.jpg,2025-05-19T18:14:48
13,Horizontal exuding ability,horizontal-exuding-ability,"These feel single human section. Beyond try animal different between. Degree per three picture theory.
Government tax doctor lot. Edge director sea line class lot.",home,56.48,194,https://example.com/images/horizontal-exuding-ability.jpg,2025-03-16T04:31:15
14,Expanded intermediate website,expanded-intermediate-website,"Rule Congress through specific nor whole.
Social writer support special four create country. Themselves watch continue box example.",electronics,183.33,176,https://example.com/images/expanded-intermediate-website.jpg,2025-07-15T20:14:24
15,Innovative local policy,innovative-local-policy,"Tell research finally building section three. Company material city view.
Agreement course four billion democratic.",beauty,136.66,22,https://example.com/images/innovative-local-policy.jpg,2025-05-16T14:27:22
16,Monitored bottom-line software,monitored-bottom-line-software,"Of next letter strategy. Leader age big season actually.
Test community push particularly one consumer would. Sister security nor land.
Probably western at election.",toys,232.95,63,https://example.com/images/monitored-bottom-line-software.jpg,2025-05-12T08:44:58
17,Open-source homogeneous encryption,open-source-homogeneous-encryption,"After type behind great. Ten involve fear with deep reach. Large answer doctor.
Teach turn late else safe student sort. Commercial thank gas simply without.",sports,44.92,150,https://example.com/images/open-source-homogeneous-encryption.jpg,2025-03-16T13:55:50
18,Upgradable content-based matrix,upgradable-content-based-matrix,Off forward radio fear business. Prove affect feel measure. Office evening between soon grow simple floor.,toys,311.54,441,https://example.com/images/upgradable-content-based-matrix.jpg,2025-01-07T04:50:49
19,Up-sized maximized strategy,up-sized-maximized-strategy,"Thus simple finish. Issue stand career pick carry.
Employee air road fight very six position bar. Meet simply accept late. Administration indicate something garden same Republican design.",home,291.2,360,https://example.com/images/up-sized-maximized-strategy.jpg,2025-01-27T18:49:55
20,Cloned bi-directional knowledgebase,cloned-bi-directional-knowledgebase,"Return foreign so instead hot argue contain. Support great involve seat friend although wife.
Better race police. Put economy fall a product manager teacher.",electronics,28.63,116,https://example.com/images/cloned-bi-directional-knowledgebase.jpg,2025-07-27T06:56:37
21,Down-sized neutral monitoring,down-sized-neutral-monitoring,"Glass floor say well. Late simply he goal.
Almost me do debate station sure record. Technology off often beyond choice offer.",home,492.69,437,https://example.com/images/down-sized-neutral-monitoring.jpg,2025-05-28T23:24:45
22,Optional cohesive hub,optional-cohesive-hub,"Suddenly owner mother.
Industry avoid check Congress other. Always lawyer explain front. Consider very from must toward main become.",fashion,434.03,194,https://example.com/images/optional-cohesive-hub.jpg,2024-12-01T07:08:54
23,Synchronized 5thgeneration analyzer,synchronized-5thgeneration-analyzer,"Work certainly month real. International hotel tend day method here.
Class rule side. Worker field individual thought them analysis against thought.
Down large side expect write business open.",home,229.97,427,https://example.com/images/synchronized-5thgeneration-analyzer.jpg,2025-01-26T14:18:38
24,Multi-tiered cohesive initiative,multi-tiered-cohesive-initiative,Fund fast only rich little. Although word stand offer political wear sign suffer. Number trouble I including.,home,86.34,181,https://example.com/images/multi-tiered-cohesive-initiative.jpg,2025-07-09T11:24:50
25,Virtual bifurcated superstructure,virtual-bifurcated-superstructure,"Run heart once occur fire course. Position long system wide.
Feeling number relate fill couple watch. Lead service brother. Brother line western kid sign would.",fashion,337.06,359,https://example.com/images/virtual-bifurcated-superstructure.jpg,2024-12-30T03:29:20
26,Profit-focused asynchronous encryption,profit-focused-asynchronous-encryption,"Save a operation financial everybody. Beautiful church continue dinner. Mr audience discuss.
Decide which house design heavy part. In everybody child consider.",toys,326.12,311,https://example.com/images/profit-focused-asynchronous-encryption.jpg,2024-12-03T04:53:32
27,Expanded upward-trending secured line,expanded-upward-trending-secured-line,"Someone language middle ball.
Read guess go.
Memory remain customer radio Democrat subject.
Listen lawyer eat. With newspaper section.",toys,90.53,373,https://example.com/images/expanded-upward-trending-secured-line.jpg,2025-04-20T11:55:07
28,Front-line 3rdgeneration application,front-line-3rdgeneration-application,"Gas star partner. Day tell best last response drug particular even. Child low ok let education appear radio station.
Phone especially support learn tonight rest as.
Tend tend Mr. Where though class.",fashion,86.71,194,https://example.com/images/front-line-3rdgeneration-application.jpg,2025-05-28T18:43:25
